route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
30-13183,JUNE24-D13CAR-3_Sunday,70030008222240-JUNE24,,0,0309811,300822_JUNE24,59962399-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200628-JUNE24,,1,0305200,300820_JUNE24,59962400-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201811-JUNE24,,1,0305300,300820_JUNE24,59962401-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211807-JUNE24,,0,0300200,300821_JUNE24,59962402-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008222035-JUNE24,,0,0309811,300822_JUNE24,59962403-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008210721-JUNE24,,0,0305200,300821_JUNE24,59962404-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201946-JUNE24,,1,0300100,300820_JUNE24,59962405-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008200844-JUNE24,,1,0300100,300820_JUNE24,59962406-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200942-JUNE24,,1,0305100,300820_JUNE24,59962407-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201012-JUNE24,,1,0300200,300820_JUNE24,59962408-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200858-JUNE24,,1,0305400,300820_JUNE24,59962409-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201756-JUNE24,,1,0305400,300820_JUNE24,59962410-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008232053-JUNE24,,1,0300400,300823_JUNE24,59962411-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008222340-JUNE24,,0,0309911,300822_JUNE24,59962412-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008232253-JUNE24,,1,0309911,300823_JUNE24,59962413-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008200800-JUNE24,,1,0300200,300820_JUNE24,59962414-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008210835-JUNE24,,0,0305100,300821_JUNE24,59962415-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008210440-JUNE24,,0,0305100,300821_JUNE24,59962416-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008210736-JUNE24,,0,0300100,300821_JUNE24,59962417-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008200957-JUNE24,,1,0300400,300820_JUNE24,59962418-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211826-JUNE24,,0,0305500,300821_JUNE24,59962419-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008222138-JUNE24,,0,0309911,300822_JUNE24,59962420-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211846-JUNE24,,0,0300100,300821_JUNE24,59962421-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211734-JUNE24,,0,0305100,300821_JUNE24,59962422-JUNE24-D13CAR-3_Sunday
